,Наименование категории,Суть обращения
1113,комплексное благоустройство,"'С Новым годом, дежурный! Установили нам контейнерную площадку, но как к ней подойти, если грязь такая, что только в болотных сапогах пройти можно. Просьба сделать нормальный подход к мусорным бачкам!'"
1114,комплексное благоустройство,"'По ул. Северная, баки переполнены на обеих контейнерных площадках. Три дня мусор не вывозиться, начался разлет мусора по территории. Почему подрядчика не натягивают и не штрафуют за халатную работу?<br /><br />#Алексин #АлексинСейчас #Новости #Слухи #ТульскаяОбласть #Тула'"
1115,комплексное благоустройство,'На данный момент в д. Б.Шелепино аналогичная ситуация. Контейнеры полные с верхом..накидан мусор рядом. До этого нареканий на вывоз мусора не было.'
1116,комплексное благоустройство,'Мусорка по улице молодёжная <br />Убирают очень редко <br />Нет контейнера под строительный мусор <br />Летом запах жуткий'
1117,комплексное благоустройство,"'Мкр. Бор сегодня снова тонул в мусоре?<br /><br />В соцсетях жители жаловались на две переполненные контейнерные площадки на ул. Алексин, ул. 50 лет ВЛКСМ. С одной, правда, позже мусор был вывезен. А площадка возле дома №.5А по состоянию на 17:50 все еще была завалена отходами.<br /><br />#Алексин #АлексинСейчас #Новости #Слухи #ТульскаяОбласть #Тула'"
1120,комплексное благоустройство,"'Здравствуйте,что происходить с вывоза мусора?,ждеш машину целыми днями а она по2 дня не забирает,или остальные дома,забирают а наш дом на ул Тульской проезжают мимо что мы что платим за муссор регулярно пожалуйста разберитесь с этой проблемой Тульская133корпус2а жители дома'"
1121,комплексное благоустройство,"'Вчера вывозили, к вечеру уже столько мусора была, сегодня не вывозили мусор'"
1123,комплексное благоустройство,"'Алексинцы продолжают жаловаться на работу МСК-НТ<br /><br />""Состояние КП по улице Набережная. <br />Ну что ж снег выпал и МСК-НТ решил что мусор можно не убирать? Потом же Ваша организация будет отписываться что разлет мусора должны убирать не они, а абсолютно другой дядя. Так вот мусор бы не разлетался если б Вы нормально и оперативно вывозили его. Как мусор можно нормально выбросить если контейнеры набиты битком и он уже из них сыпется под ноги. И,кстати, раньше на сколько помнится контейнеров было больше (это касаемо КП на улице Набережная). Не можете оперативно вывозить ставьте лишние контейнеры. Надоело уже Ваше наплевательское отношение на свои прямые обязанности.""<br /><br />#Алексин #АлексинСейчас #Новости #Слухи #ТульскаяОбласть #Тула'"
1124,комплексное благоустройство,"'Алексин, ул. 50 лет ВЛКСМ, д.5А состояние КП. Мусор не забирали - баки переполнены. Фото 14.01.2020 в 17:50'"
1125,комплексное благоустройство,"'[club176525167|Филиал ООО «МСК-НТ» в Тульской области], Ув. ООО ""МСК-НТ"" вы прилагаете фото контейнерных площадок по улице Северная д.11 возле здания ""Атлета"" и по ул. Северная д.21 вторая контейнерная площадка возле ворот 18 школы. Контейнерная площадка у нас на фото - это вторая контейнерная площадка возле 18 школы - переполнена и не вывозится уже несколько дней. Не надо отчитываться о том, что вы еще не сделали!'"
1126,комплексное благоустройство,"'[club176525167|Филиал ООО «МСК-НТ» в Тульской области],  Уважаемые, можно на горушках на улице Горной навести порядок с контейнерами.Половина стоит перевёрнутые,а рядом где раньше стоял большой контейнер, сваливают кучу мусора.Куда делся большой контейнер?'"
1128,комплексное благоустройство,"'@amoaleksin71 @Tularegion71 @msktula Алексин, ул. 50 лет ВЛКСМ, д.5А состояние КП. Мусор не забирали - баки переполнены. Фото 14.01.2020 в 17:50 https://t.co/74KzC9FJpd'"
1129,комплексное благоустройство,"'Проверьте Металлургов 32 ,к контейнерной площадке не подойти.Лужа огромная,а когда мороз наледь.Контейнерная площадка стоит не насвоей территории и близко к д/с.'"
1130,комплексное благоустройство,"'Добрый день, подскажите пожалуйста, раньше в нашем дворе (генерала Маргелова 5а,б,в) стояли контейнеры для раздельного сбора мусора, потом почему-то они пропали, может вы знаете куда нужно обратиться, чтобы их вернули? К вам или в управляющую? На сколько помню, всегда они были полные, а собирать мусор и отдельно сдавать в определенные дни Экомобиля намного сложнее. Заранее благодарю за ответ)'"
1131,комплексное благоустройство,"'Адрес: г. Новомосковск ул. Московская 7<br /> <br />На данном фото мы видим, что жители Новомосковская уже готовы к раздельному сбору мусора и приступили к откладыванию пластиковых отходов в отдельный контейнер. <br /><br />Отдельный контейнер для пластиковых отходов мы не видим 😃 <br /><br />#ЧистаяТула #Тула #ТульскаяОбласть #СделаемНашГородЧистым #БольшаяТула #ЖизньТулы #Новомосковск<br /><br />Original: https://sun9-32.userapi.com/c855528/v855528942/1bb3fc/U_h6lKGDtj0.jpg'"
1133,комплексное благоустройство,"'@TulaHartiya @Tularegion71 @TulaHartiya почему не вывозите мусор вовремя в частном секторе #мясново #тула Вчера не вывозили 1 января - все проезды - у Вас выходные ? @Tularegion71 Если не ставите для них контейнеры , тогда вывозите вовремя ! Фото сегодня утром 8.30 #мусор71 https://twitter.com/skorohodik/status/1212629589664645120 … pic.twitter.com/zTnEHgiVzA'"
1134,комплексное благоустройство,"'Согласна с автором✌️у нас, на Садовой, 21 а, такая же хрень. Обещали до НГ оборудовать площадки, хрен там. Всё разлетается, каждое утро начинается с уборки придомовой территории. За мусор заплати, ещё ходи и собирай мусор по всей улице👍'"
1135,комплексное благоустройство,"'Просим баки по ул. Театральная, п. Дубовка поставить на плиту(убрать с дороги)! И где же новое ограждение? https://vk.com/topic-138344249_35720826'"
1136,комплексное благоустройство,"'МСК-НТ, обращаюсь к вам. Данную помойку вы уже убрали, но убрали после обращения граждан, мусор опять разлетелся вокруг контейнеров и полетел по кварталу.. неужели за полгода работы нельзя понять где как быстро накапливается мусор и вывозить отходы по графику???'"
1138,комплексное благоустройство,'@terehovnn @Tularegion71 @myslo @Genproc @tulactive @ntvru 2е число. Администрация по-прежнему игнорирует проблему. Очевидно ждёт пока выпадет снег и засыпет эту помойку'
1139,комплексное благоустройство,"'Ну что, праздники закончились? Тогда вопрос к [club147239378|Ясногорский район]: свалка ясногорская всё-таки закрыта или как? Если да, то почему убраны блоки, препятствующие въезду? Почему на территорию свалки ведут следы машин? И что там горит постоянно?'"
1141,комплексное благоустройство,"'[club147239378|Ясногорский район], похоже, что вы из параллельной вселенной! Трудно найти ясногорца, который не знает этой свалки. Но для вас персонально:'"
1142,комплексное благоустройство,"'@admyasnogorsk @Tularegion71 @admyasnogorsk @Tularegion71 Здравствуйте!<br>Прошу ознакомиться с видеосюжетом о состоянии дорог, тротуаров и контейнерных площадок в Ясногорском районе Тульской области. Ответ на обращение жителей прошу прислать на адрес эл. почты ivankovo-kontrol@mail.ru<br>https://youtu.be/1G7omdFjPew'"
1143,комплексное благоустройство,"'[club138393045|Город Новомосковск], добрый вечер, список контейнерных площадок вошедших в перечень уточните.'"
1145,комплексное благоустройство,'Я из Новомосковска тульской обл у нас также возле контейнеров мусор лежит извечная проблема а за мусор платим 300рубле'
1146,комплексное благоустройство,"'д. Березово, мусор не вывозится уже 2 нежели, на номера региональных операторов не дозвониться, куда бежать.'"
1147,комплексное благоустройство,"'Здравствуйте, когда закончится свинарник на мкрн. Шахтерский, началось все с начала строительства новой котельной и продолжается по сей день.'"
1149,комплексное благоустройство,"'С праздниками Вас. Подскажите пожалуйста,разрешена ли установка мусорного контейнера на обочине дороги?'"
1150,комплексное благоустройство,'Вот так выносят мусор круглосуточный вино-водочный магазин.Видно очень тяжело до контейнеров дойти.'
1152,комплексное благоустройство,"Спиливание аварийного дерева по ул. Циолковского между домами 10 и 12, благоустройство территории гаражей"
1153,комплексное благоустройство,"Вокруг дома №5 по 2-му проезду Металлургов месяца два назад спилили деревья, но ветки до сих пор не убрали. Прошу убрать в кратчайшие сроки."
1154,комплексное благоустройство,Неубранные спиленные ветки с торца от последнего подъезда дома 3 по 2-му пр. Металлургов. Фото от 07.01.20
1155,комплексное благоустройство,"Необходимо убрать упавшее дерево, перегородившее пешеходную дорожку между домами №5 и №7 по ул. Макара Мазая (дерево упало между домами со стороны ул. Приупской)."
1156,комплексное благоустройство,"Деревья порезали летом а ветки и брёвна лежат до сих пор в куче,детям негде играть."
1157,комплексное благоустройство,"Во дворе по ул.Серебровская,д.26 на территории детской площадки много аварийных деревьев,которые накренились и вот-вот упадут.Очень страшно выходить гулять с детьми.Прошлой весной одно дерево уже упало,хорошо во дворе никого не было и никто не пострадал.Пень от упавшего дерева до сих пор никто не убрал.Также есть деревья,которые засохли и моут упасть от сильного ветра и повредить линию электросетей. Прошу Вас принять меры по устранению аварийных деревьев,т.к.они создают угрозу жизни жителей."
1158,комплексное благоустройство,"Это уже не просьба, не заявление! Это уже крик! Помогите кронировать тополя в нашем дворе! Они стоят в опасной близости от дома и сараев. При сильном ветре или обильном снегопаде эти ""гиганты""  угрожают нашему дому, прохожим и машинам. Неужели надо ждать пока случится непоправимое и кто то пострадает???"
1162,комплексное благоустройство,спиливание аварийного дерева у дома заявителя (угроза обрыва проводов и повреждения газопровода)
1163,комплексное благоустройство,"Заявитель получил ответ от Администрации о спиливании дерева, фактически дерево не спилено."
1164,комплексное благоустройство,"Просьба оказать содействие в спиливании аварийных деревьев по адресу: г. Новомосковск, ул. Бережного, д. 6."
1169,комплексное благоустройство,"Торец дома ЗМР1, возле арки. Если это колодец, то у него нет крышки! А если он брошенный, или это просто плита, то ликвидируйте этот мусор!"
1170,комплексное благоустройство,"Разрушен колодец ЗМР11 с торца 8-ого подъезда, плита наклонилась, образовалась яма."
1171,комплексное благоустройство,"Вместо крышки люка колодца используется мусор. ЗМР12, сзади дома, торец последнего подъезда, возле порожек!"
1172,комплексное благоустройство,"Вместо крышки люка используется мусор! ЗМР18, Парковка возле 1-ого подъезда. Надеюсь и этот мусор будет удалён после установки крышки!"
1173,комплексное благоустройство,"Сильно разрушено кольцо смотрового колодца за домом ЗМР20, с торца 8-ого подъезда!"
1174,комплексное благоустройство,"Вместо крышки люка используется мусор. ЗМР 8, сзади дома, со стороны первого подъезда."
1175,комплексное благоустройство,"Нет крышки люка на колодце на перекрёстке улиц Коммунаров и Свободы, возле ДК Азимут."
1177,комплексное благоустройство,"Нет крышки люка на колодце на Ленина, 28, возле магазина «Восход+»."
1178,комплексное благоустройство,Нет крышек люков на колодцах по улице Максима Горького в районе домов 46 и 48.
1179,комплексное благоустройство,"Нет крышки люка на колодцах на улице Окружная, в районе дома N1."
1180,комплексное благоустройство,Нет крышки колодца на перекрёстке переулка Карла Маркса и улица Южная.
1184,комплексное благоустройство,"Нет крышки люка колодца рядом с автодорогой на Школьном переулке, в районе цветочного магазина."
1185,комплексное благоустройство,"Вместо крышки люка используется мусор на Школьном переулке, в районе Почты."
1187,комплексное благоустройство,"Нет крышки люка колодца на перекрёстке улиц Коммунаров и Свободы, данный колодец находится со стороны первого подъезда дома N29. Это не тот колодец, что в обращении N5752506, который расположен с торца последнего подъезда, т.е. между домами Коммунаров 27 и 29. Примите в работу!"
1188,комплексное благоустройство,"Вместо крышки люка на колодце под теплотрассой на перекрёстке улиц Коммунаров и Свободы, возле дома Коммунаров, 29 используется мусор."
1189,комплексное благоустройство,"Вместо крышки люка на колодце на перекрёстке улиц Коммунаров и Свободы, возле дома Коммунаров, 29 используется мусор."
1190,комплексное благоустройство,"Провалилась крышка люка, ранее заявитель был на приеме у Ростовцева В.В. по этому вопросу."
1191,комплексное благоустройство,"Около дома на проспекте Ленина 112а, есть колодец открытый (без крышки!), рядом с магазином Усатый-Полосатый. Пока не было снега, эту дыру было видно и кто-то поставил туда сухое дерево - чтобы обозначить опасность. Сейчас дерева нет, вижу старый деревянный поддон и снег сверху уже ... Реальная опасность для детишек и взрослых, которые там случайно могут пройти"
1192,комплексное благоустройство,Во дворе дома разрыта траншея для обнаружения утечки в сети отопления. В течение 3-х месяцев утечка не устранена. Траншея находится вблизи детской площадки без ограждения.
1193,комплексное благоустройство,"Возле школы 11 , г. Щекино. Со стороны ул. Пролетарской д. 9. Отсутствует крышка канализационного люка."
1202,комплексное благоустройство,"У нас во дворе столб с электроприводами, идущими к дому в очень плохом состоянии, древесина гнилая. А другой столб, от которого провода идут к магазину пятёрочка совершенно не виден из за разросшихся деревьев, провода находятся среди веток. В любой момент может возникнуть короткое замыкание."
1203,комплексное благоустройство,"Во дворе одна лавочка полностью сгнила, в беседке половина лавок отсутствует, столик сломан, крыша покрыта линолеумом,лишь бы не текла. Через наш двор люди постоянно ходят в магазин по грязи. Отсутствует тротуар. Зато присутствует уродливый бетонный забор около магазина, возведенный в лихие 90стые, со свалками за забором."
1207,комплексное благоустройство,"Добрый вечер , прошу принять меры по организации освещения двора находящегося по адресу г.Богородицк ул. Льва Толстого д.4 .Пешеходные зоны во дворе не просматреваются в темное время суток , что приводит к затруднительным передвижениям и возможностью получения травм из-за недостаточной видимости.фото прилагаются , фото сделаны в режиме ночной съемки , т.к. в обычном режиме съемки было бы просто темное пятно , заранее спасибо , надеюсь на реакцию в крочайшие сроки."
1208,комплексное благоустройство,"Перегорел диодный фонарь во дворе дома Тула Металлургов 77б. Ночью не горит, иногда мигает."
1209,комплексное благоустройство,"ВЫломаны замки и частично сорваны с петель двери в помещении с контейнерами для мусора. Из-за этого мусор постоянно растащен БОМЖами и птицами по двору, а скрип дверей мешает спать ночью. УК ремонтом на занимается"
1210,комплексное благоустройство,"Уже 4 месяца назад перегорело освещение на фонарном столбе по адрусу: Донской, мкр. Центральный, ул. Горноспасательная, д. 1. Ни каких мер по замене лампы не применяется"
1211,комплексное благоустройство,"В связи с капитальным ремонтом крыши, был задет/ перебит провод электричества уличного прожектора в 1 подъезде дома №3. Прошу устранить неисправность. Прошу учесть, что прожектор светодиодный, новый,был куплен осенью 2019г.(по настоящее время был исправлен) и в случае его замены только с разрешения собственника - Спиридонова татьяна (8953-959-5315)"
1212,комплексное благоустройство,Почему до сих пор ничего не сделали!? Примите меры! Обещали Установка опоры ЛЭП будет произведена в срок до конца 3 квартала 2019 года. Председатель комитета жизнеобеспечения АМО Ясногорский район А.В. Симаков
1213,комплексное благоустройство,"добрый день.В конце улицы Чапаева отсутствует освещение,в темное время суток ходить там невозможно.Столб имеется и на столбе есть кронштейн для светильника"
1218,комплексное благоустройство,"Об установке детской игровой площадки во дворе жилого дома по адресу: г. Тула, п. Косая Гора, ул. Максима Горького, д. 37."
1219,комплексное благоустройство,"Об организации уличного освещения территории детской игровой площадки по адресу: г. Тула, ул. Городской переулок, д. 15, 17. О расширении или обустройстве дополнительной детской игровой площадки."
1220,комплексное благоустройство,О несогласии с демонтажем детского игрового оборудования. Об установке детской игровой площадки на придомовой территории жилого дома заявителя.
1221,комплексное благоустройство,"О ремонте, замене конструкций и оборудования детской игровой площадки по адресу: г. Кимовск, ул. Стадионная, д. 8."
1224,комплексное благоустройство,"перенос контейнерной площадки с ул. Лукашина , д. 5 на ул. Лукашина , д. 3-а"
1227,комплексное благоустройство,"контейнерная площадка расположена на расстоянии более 2 км, утилизировать ТКО для пожилых людей не представляется везможным"
1229,комплексное благоустройство,"Не вывозится мусор ещё с новогодних праздников на контейнерной площадке между домами Новосёлов 2, корп. 2 и Новосёлов д. 4, корп. 2, мусор уже валяется на дороге"
1230,комплексное благоустройство,"Моя 80-летняя бабушка живет по адресу г.Тула ул.Фрунзе 27. Это пятиэтажный дом ""хрущевка"" без мусоропровода. Во дворе этого дома, как и соседних (25,29) нет оборудованных мусорных контейнеров. Почему? Куда должен пожилой человек выносить мусор?"
1233,комплексное благоустройство,"Базарная,19 рядом с Почтой. А остальное кто будет убирать? Почему столбы рядом с мусоркой не убрали? Там должно быть всё чисто и стоять контейнер; по 165 рублей с человека берёте за мусор, и обслуживать по-человечески не хотите!"
1234,комплексное благоустройство,Не убирают мусор на мусорной площадке на улице Октябрьская возле ПАТП и кладбища.
1243,комплексное благоустройство,"На территорию парковки для инвалидов у ""Дома науки и техники"" складируется снег."
1245,комплексное благоустройство,"На детской площадке между домами 16 и 18 по улице Центральная, элемент ""труба"" имеет две сквозные пробоины с острыми краями.Прошу произвести ремонт."
1246,комплексное благоустройство,"На детской площадке между домами 16 и 18 в мкр. Жданковский по улице Центральная, элемент ""труба"" имеет две сквозные пробоины с острыми краями.Прошу произвести ремонт."
1248,комплексное благоустройство,"Здравствуйте! Прошло полтора года с момента первого обращения, проблема не решена с освещением на детской и спортивной площадках на придомовой территории."
1249,комплексное благоустройство,"Автомобили паркуются на газоне, проезжают по газону. Между домами 5 корп.1 и 5 корп.2. Грязь на придомовой территории."
1258,здравоохранение,перевод дедушки заявителя Медведева И.И. в другую больницу для более эффективного лечения
1268,здравоохранение,Просьба оказать содействие в получении направления к неврологу и оказании медицинской помощи (после операции распухло колено). С руководством медицинского учреждения вопрос не решается.
1269,здравоохранение,Просьба оказать помощь в проведении обследования ребенка заявителя (внучки) на бесплатной основе.
1274,здравоохранение,"Перевод дедушки в ГУЗ им. Д.Я. Ваныкина. Со слов заявителя, в тяжелом состоянии, в реанимации."
1282,здравоохранение,Просьба оказать содействие в решении вопроса о проведении жизненно необходимого курса стереотаксической лучевой терапии.
1284,здравоохранение,Жалоба на оказанную медицинскую помощь ненадлежащего качества отцу заявительницы Савенкову В.И.
1285,здравоохранение,"О переводе матери заявителя Жариковой А.Ф. в ГУЗ ТО ""Тульская областная клиническая больница"". О внеочередном проведении операции Жариковой А.Ф. по замене тазобедренного сустава."
1286,здравоохранение,"О переводе Жариковой А.Ф. из ГУЗ ""Городская больница №11 г. Тулы"" в ГУЗ ТО ""Тульская областная клиническая больница"".  О проведении операции Жариковой А.Ф. по замене тазобедренного сустава."
1294,здравоохранение,"Повторно. С заявителем не связались. Заявитель не согласен с консилиумом, который проводился 3 декабря в КДЦ г. Новомосковск. Со слов заявителя, сотрудники некорректно установили основной диагноз. Со слов заявителя, ранее обратную связь предоставлял сотрудник Мостовщикова некорректно и безрезультатно."
1297,здравоохранение,Заявитель не согласен с ожиданием лечения сына до 09.01.20 (был доставлен в ГУЗ скорой медицинской помощью).
1298,здравоохранение,"Жалоба по вопросу работы сотрудников ГУЗ ""Новомосковская городская больница"" (отделение неврологии по ул. Калинина). Со слов заявителя, супруг Спирин Д. А. был доставлен бригадой СМП 18.01.2020 (подозрение на эпилептический припадок или кровоизлияние вследствие высокого давления), первичная помощь была оказана, дежурный врач отсутствовал 18.01.2020 и 19.01.2020, точный диагноз не установлен. Просьба принять меры."
1299,здравоохранение,"Жалоба на лор-врача по вопросу ненадлежащего осмотра 17.01.2020, отсутствия назначений по лечению. Со слов заявителя Наумов И.А., Кашпур Г.П. не оказывают содействие в решении вопросов заявителя."
1300,здравоохранение,"Жалоба на качество лечения в стационаре ГУЗ ""Новомосковская городская клиническая больница"". Со слов заявления, в результате неправильного лечения у заявителя появилась астма. Просьба принять меры и оказать содействие в лечении заявителя."
1302,здравоохранение,"О лечении сестры заявителя Сельвестровой М.В. О переводе Сельвестровой М.В. в ГУЗ ТО ""Тульская областная клиническая больница""."
1303,здравоохранение,"Прошу  пояснить, почему нет квот на холтеровское проведение ЭКГ в диагностическом центре ТОБ"
1304,здравоохранение,Жалоба на отказ в получении квоты на операцию для отца заявительницы без объяснения причин
1305,здравоохранение,Жалоба на отказ в выдачи молочки ребенку заявительницы находящемуся на искувственном вскармливании. Также отказ выдать лекарственные средства.
1306,здравоохранение,"Жалоба на некачественное оказание медицинских услуг врачом ООО ""Центр новых медицинских технологий"" Дорошенко-Смирновой О.С."
1307,здравоохранение,"Жалоба от представителя заявительницы (Климова А.А.) на причинение вреда здоровью из за врачебной халатности в ГУЗ ""Ефремовская РБ"""
1308,здравоохранение,Прошу  отменить мою жалобу от 15 января 2020 года т.к вопрос разрешился
1309,здравоохранение,"Обращение по вопросу принять решительные меры в отношение медицинских сотрудников, которые при записи вызова врача на дом, указали не правильный адрес"
1313,здравоохранение,"несогласие с выпиской дочери Григоровой Ю. А. (21 полных лет, открытая форма туберкулеза) из ГУЗ ""Тульский областной противотуберкулезный диспансер № 1"""
1317,здравоохранение,"Жалоба на медицинскую сестру в стационаре (грубое отношение, некомпетентный сотрудник). В стационаре не работает лифт."
1319,здравоохранение,"'В детском отделении вообще церберы!! Мне врач в кабинете здоровья ребенка отказала в приеме!!!! Отказала просто в осмотре новорожденного. Сидят в кабинетах овчарки. Доброжелательность и вежливость им впринципе не знакомы!! От куда такие цифры опросов?<br>Если Киреевская ЦРБ почти 100б и на 6м месте...., то не хотелось бы мне оказаться в больнице та-что на 7м)'"
1323,здравоохранение,Просьба предоставить разъяснения в каком ГУЗе заявитель может сдать анализ на определение кислотности желудочного сока.
1324,здравоохранение,"Просьба оказать содействие в получении направления для отца заявителя (Самойлов Николай Николаевич) в ГУЗ «Городская больница №3 г. Тулы» к врачу Чиглашвили Дато Семеновичу. Со слов заявителя, требуется срочная квалифицированная медицинская помощь. В настоящий момент отец заявителя находится в ГУЗ «Ефремовская районная больница»."
1325,здравоохранение,"Просьба оказать помощь в лечении родственницы заявителя Ждановой Н.П. в ГУЗ «Тульская областная клиническая больница». Со слов заявителя, выписана из ГУЗ «Ефремовская районная больница» с подозрением на онкологическое заболевание, в домашних условиях ожидает результатов биопсии, лечение не назначено."
1327,здравоохранение,"Заявитель не согласен с длительным временем ожидания результатов биопсии для родственницы (состояние ухудшается, из больницы выписана)."
1330,здравоохранение,"Просьба оказать содействие заявителю в прохождении врачей для дальнейшей операции по замене сустава шейки бедра в ГУЗ «Узловская районная больница». Со слов заявителя, передвигаться самостоятельно не может (инвалидная коляска), проживает один, возможности доехать самостоятельно без сторонней помощи нет."
1331,здравоохранение,"Просьба оказать помощь в лечении последствий перелома шейки бедра (замене сустава бедренной кости). Со слов заявителя, в 2018 году получил перелом шейки бедра, полное выздоровление не наступило (на текущий момент является лежачим больным в домашних условиях), в ГУЗ «Узловская районная больница» отсутствует возможность продолжить полноценное эффективное лечение."
1333,здравоохранение,"Жалоба на СМП по вопросу отказа выезда к ребенку (3 года, температура 38,1), направили в поликлинику к дежурному врачу. Заявитель не согласен с разъяснениями Поляковой Н.П. по данному вопросу. Просьба дать разъяснения по вопросу отсутствия дежурного врача в поликлинике п. Дубовка, пришлось ехать к дежурному врачу в г. Узловая. Просьба принять меры."
1334,здравоохранение,"Жалоба на отказ в оказании медицинской помощи ребенку заявительницы в больнице по адресу г Тула, Советский район, улица Мира 11 к1"
1337,здравоохранение,Просьба оказать содействие в организации консультации у хирурга для родственницы заявителя (требуется хирургическое вмешательство).
1339,здравоохранение,"Заявитель не согласен с консилиумом, который проводился 3 декабря в КДЦ г. Новомосковск. Со слов заявителя, сотрудники некорректно установили основной диагноз."
1345,здравоохранение,Просьба оказать помощь в бесплатной сдаче анализа крови на витамин Д.
